Word,Language
logous dia pantos logous dia pantos logous dia,AncientGreek
ta prosopa ton ta prosopa ton ta prosopa ton ta,AncientGreek
ean de me ean de me ean de me ean de me ean de,AncientGreek
e thusia umon e thusia umon e thusia umon e,AncientGreek
ten entolen ten entolen ten entolen ten entolen,AncientGreek
sou mepote ou sou mepote ou sou mepote ou sou,AncientGreek
euxe ous de euxe ous de euxe ous de euxe ous de,AncientGreek
umon os tuto umon os tuto umon os tuto umon os,AncientGreek
apostrephomenoi ton endeomenon apostrephomenoi,AncientGreek
ei tis ei tis ei tis ei tis ei tis,AncientGreek
mede proseukhesthe mede proseukhesthe mede,AncientGreek
os an oun os an oun os an oun os an oun os an,AncientGreek
ton tropon gnosthesetai ton tropon gnosthesetai,AncientGreek
baneto eime arton baneto eime arton baneto eime,AncientGreek
diakonous axious tou diakonous axious tou,AncientGreek
oti sou estin oti sou estin oti sou estin oti,AncientGreek
phanesetai o kosmoplanos phanesetai o,AncientGreek
onoma sou eltheto onoma sou eltheto onoma sou,AncientGreek
didakhe kuriou dia didakhe kuriou dia didakhe,AncientGreek
gurion aite pseudoprophetes gurion aite,AncientGreek
kai oi phthoreis kai oi phthoreis kai oi,AncientGreek
kaia agrupnountes ouk kaia agrupnountes ouk kaia,AncientGreek
marturiai upokriseis diplokardia marturiai,AncientGreek
mede pieto apo mede pieto apo mede pieto apo,AncientGreek
ou miseseis ou miseseis ou miseseis ou miseseis,AncientGreek
tes mede eristikos tes mede eristikos tes mede,AncientGreek
eirene os ekhete eirene os ekhete eirene os,AncientGreek
menei de emeran menei de emeran menei de emeran,AncientGreek
upokriton nesteuousi gar upokriton nesteuousi,AncientGreek
dexasthe auton os dexasthe auton os dexasthe,AncientGreek
ton tessaron anemon ton tessaron anemon ton,AncientGreek
pseudoprophetes esti pseudoprophetes esti,AncientGreek
tizon kai o tizon kai o tizon kai o tizon kai o,AncientGreek
prosoton elegxai prosoton elegxai prosoton,AncientGreek
opsetai o kosmos opsetai o kosmos opsetai o,AncientGreek
medeis de medeis de medeis de medeis de medeis,AncientGreek
geliou outo poiesate geliou outo poiesate geliou,AncientGreek
matiken trophen kai matiken trophen kai matiken,AncientGreek
ne sou eis ne sou eis ne sou eis ne sou eis ne,AncientGreek
sumbainonta soi energemata sumbainonta soi,AncientGreek
allen treis de allen treis de allen treis de,AncientGreek
samenoi ta paraptomata samenoi ta paraptomata,AncientGreek
phageto ei de phageto ei de phageto ei de,AncientGreek
estin e dunamis estin e dunamis estin e dunamis,AncientGreek
sen basileian en sen basileian en sen basileian,AncientGreek
ginou pseustes epeide ginou pseustes epeide,AncientGreek
tais emerais plethunthesontai tais emerais,AncientGreek
auten en te auten en te auten en te auten en te,AncientGreek
dounai suspon dounai suspon dounai suspon dounai,AncientGreek
teknon mou pheuge teknon mou pheuge teknon mou,AncientGreek
o didaskon strapheis o didaskon strapheis o,AncientGreek
tois de tois de tois de tois de tois de,AncientGreek
esei semeia kai esei semeia kai esei semeia kai,AncientGreek
makarios o didous makarios o didous makarios o,AncientGreek
ta paraptomata sou ta paraptomata sou ta,AncientGreek
proseukhen sou en proseukhen sou en proseukhen,AncientGreek
osautos keramion osautos keramion osautos,AncientGreek
estin e odos estin e odos estin e odos estin e,AncientGreek
mallon en mallon en mallon en mallon en mallon,AncientGreek
doma ouk eleountes doma ouk eleountes doma ouk,AncientGreek
ean theleses me ean theleses me ean theleses me,AncientGreek
treis emeros ean treis emeros ean treis emeros,AncientGreek
ekhe latreia gar ekhe latreia gar ekhe latreia,AncientGreek
setai aute de setai aute de setai aute de setai,AncientGreek
