Word,Language
toi podir smrt,Bulgarian
dosega niakolko ot,Bulgarian
viena parizh i,Bulgarian
svidetelstvo za osobnoto,Bulgarian
mu ostavil n,Bulgarian
te iskat,Bulgarian
cherta otgore,Bulgarian
tiakh niama zashcho,Bulgarian
glupachka,Bulgarian
obratno nali znaesh,Bulgarian
i napravi grimasa,Bulgarian
asledstveno razpolozhenie za,Bulgarian
vednzh plet ne,Bulgarian
vchera drugarkata,Bulgarian
az napravo,Bulgarian
elito momentalno,Bulgarian
dostoino za obich,Bulgarian
samo za da,Bulgarian
iznasilish,Bulgarian
kakto uchenitsite,Bulgarian
mkvakha navn,Bulgarian
ti ili pone,Bulgarian
to elito im,Bulgarian
v gorskite,Bulgarian
edinadesetoklasnitsi,Bulgarian
deivid boui,Bulgarian
sheniia mezhdu teb,Bulgarian
vsichko prepisakha,Bulgarian
toi igraeshe,Bulgarian
kato biakh v,Bulgarian
tialoto ti,Bulgarian
khaide siadaite,Bulgarian
sega toi,Bulgarian
priiatelkata na,Bulgarian
pazi ot neia,Bulgarian
za mladite,Bulgarian
usoinitsa,Bulgarian
lekh za mnogo,Bulgarian
niamash nikakva volia,Bulgarian
reche si tia,Bulgarian
togava spored,Bulgarian
vas e na,Bulgarian
nashata liubov,Bulgarian
tia napravo,Bulgarian
parolata za da,Bulgarian
iskra povishi ton,Bulgarian
naiveche kogato,Bulgarian
vlachi svoiata svetovna,Bulgarian
glavnoto e,Bulgarian
chudeshe se,Bulgarian
klasnata trgva da,Bulgarian
niakolko ot stikhotvoreniiata,Bulgarian
stanito me,Bulgarian
na nikogo,Bulgarian
bi bila ti,Bulgarian
ia da vi,Bulgarian
veno miasto,Bulgarian
sa dvamata,Bulgarian
vsichko za da,Bulgarian
niamashe kak,Bulgarian
pri tebe da,Bulgarian
vsichki sa nalitse,Bulgarian
da si legna,Bulgarian
vsichko koeto,Bulgarian
iata kato pokazakh,Bulgarian
vseki den,Bulgarian
sredniiat uspekh,Bulgarian
tst za uchitelite,Bulgarian
zavedeniia,Bulgarian
rumen pk sporekha,Bulgarian
imashe nuzhda,Bulgarian
to miasto shchiakh,Bulgarian
drugo kino,Bulgarian
negovite suchenitsi,Bulgarian
vizh emo,Bulgarian
tinkt da se,Bulgarian
vinagi kogato niakoi,Bulgarian
donese tolkova prezhiviavaniia,Bulgarian
te niama,Bulgarian
obiasniavam,Bulgarian
rito isa i,Bulgarian
ni edin kup,Bulgarian
prosto znam,Bulgarian
izdrzhim na tazi,Bulgarian
izvednzh topkata,Bulgarian
tsanie beshe preksnato,Bulgarian
viniavai che ti,Bulgarian
podskazvacht,Bulgarian
ako az ne,Bulgarian
mu se zaicheto,Bulgarian
no mi se,Bulgarian
tazi zhestoka istina,Bulgarian
samo rekokh,Bulgarian
dotegnalo,Bulgarian
se mcheshe da,Bulgarian
ibsenoviia khelmer koito,Bulgarian
proverkata,Bulgarian
tia niamashe,Bulgarian
to placheshe,Bulgarian
zatova az,Bulgarian
obicham taka drugo,Bulgarian
vseki si,Bulgarian
nainakraia mistr,Bulgarian
zashcho se,Bulgarian
ka prazni prikazki,Bulgarian
stanali sa,Bulgarian
liubimata che ia,Bulgarian
devetoklasnitsite se,Bulgarian
si spomnia s,Bulgarian
se chuvstva chuzhd,Bulgarian
ne biakh ochakvala,Bulgarian
siakash vsichko,Bulgarian
dvete goreshchiashchi se,Bulgarian
ka chista i,Bulgarian
ti koiato e,Bulgarian
sochi sediashchata pred,Bulgarian
dori mnogo,Bulgarian
magnetofona,Bulgarian
udoben da se,Bulgarian
pishat dvoika,Bulgarian
ivancho izreva,Bulgarian
dori vchera,Bulgarian
doidokha rumen i,Bulgarian
az mozhe,Bulgarian
uzhasna brkotiia,Bulgarian
reche che togava,Bulgarian
obrazovanieto si v,Bulgarian
bochi i pisheshe,Bulgarian
khaide da,Bulgarian
sami razplakani i,Bulgarian
kde pk podredeni,Bulgarian
tochno do emo,Bulgarian
v sgradata predi,Bulgarian
butna go slavcho,Bulgarian
urok po vzdrzhanost,Bulgarian
sila na toia,Bulgarian
prez chistkata im,Bulgarian
emo u vas,Bulgarian
kakvo iskashe,Bulgarian
slusham da ne,Bulgarian
den sa te,Bulgarian
znam dali naistina,Bulgarian
dzhesito pishcheshe,Bulgarian
tsa za otkaz,Bulgarian
pravo na prodlzhenie,Bulgarian
iskra stanakha,Bulgarian
sega vrvi,Bulgarian
podkhvrliakha edna malka,Bulgarian
zabravenite mu dal,Bulgarian
iavno shcheshe,Bulgarian
da stanislava,Bulgarian
emo zasluzhava neinata,Bulgarian
chertezhite i,Bulgarian
mi otkolkoto da,Bulgarian
vrnala veche ot,Bulgarian
to izlizashe ot,Bulgarian
mu koito ne,Bulgarian
ni razvivan razni,Bulgarian
ostavi me,Bulgarian
goliamoto mezhduchasie,Bulgarian
leze zasramen,Bulgarian
prakhosva vremeto,Bulgarian
tia dade,Bulgarian
i razbira,Bulgarian
santimetr nastrani,Bulgarian
otidokh u slavcho,Bulgarian
shifikatsiia na meditsinski,Bulgarian
onezi ogranicheni lichnosti,Bulgarian
se makhnakh,Bulgarian
koi otsstva,Bulgarian
vv vestnik,Bulgarian
vame kato tiakh,Bulgarian
zhe naplno da,Bulgarian
uzhas napravo beshe,Bulgarian
evropeiski narodi nastoiashcheto,Bulgarian
leniiat svetets i,Bulgarian
mozhe li da,Bulgarian
zhiv shche ia,Bulgarian
vsichki ostanali,Bulgarian
khaide ela,Bulgarian
izchezvai,Bulgarian
ochite pred slabostite,Bulgarian
kakvo da se,Bulgarian
zashchoto tezi,Bulgarian
shche pravish sam,Bulgarian
drugariu,Bulgarian
niama nishcho,Bulgarian
kazakh mu,Bulgarian
kite biakha kato,Bulgarian
na marina,Bulgarian
go dobre shche,Bulgarian
imame sigurno i,Bulgarian
chak tolkova,Bulgarian
gledai gi,Bulgarian
