Word,Language
va ti shche va ti shche va ti shche va ti shche,Bulgarian
tia vednaga otivashe tia vednaga otivashe tia,Bulgarian
se brka v se brka v se brka v se brka v se brka,Bulgarian
bi pozhelal poskoro bi pozhelal poskoro bi,Bulgarian
da edva ne da edva ne da edva ne da edva ne da,Bulgarian
pak shche pak shche pak shche pak shche pak,Bulgarian
nie ne nie ne nie ne nie ne nie ne,Bulgarian
ka chista i ka chista i ka chista i ka chista i,Bulgarian
gli koito se gli koito se gli koito se gli koito,Bulgarian
goliama ideia goliama ideia goliama ideia,Bulgarian
i orisiiata i orisiiata i orisiiata i orisiiata,Bulgarian
ne bikh ne bikh ne bikh ne bikh ne bikh,Bulgarian
se razpravia se razpravia se razpravia se,Bulgarian
km svremenni i km svremenni i km svremenni i km,Bulgarian
pokaza kolko e pokaza kolko e pokaza kolko e,Bulgarian
shchoto sm plen shchoto sm plen shchoto sm plen,Bulgarian
poseshchenie ne ochakvashe poseshchenie ne,Bulgarian
da strada da strada da strada da strada da,Bulgarian
ni chesto da ni chesto da ni chesto da ni chesto,Bulgarian
ima naimnogo izkliucheni ima naimnogo,Bulgarian
zlobno zatrepera zlobno zatrepera zlobno,Bulgarian
minalata godina minalata godina minalata godina,Bulgarian
se iavi v se iavi v se iavi v se iavi v se iavi,Bulgarian
nito dori nito dori nito dori nito dori nito,Bulgarian
gava vikai  gava vikai  gava vikai  gava vikai,Bulgarian
falshivi meditsinski belezhki falshivi,Bulgarian
dshcheria vi e dshcheria vi e dshcheria vi e,Bulgarian
emo da se emo da se emo da se emo da se emo da,Bulgarian
na moderniia svia na moderniia svia na moderniia,Bulgarian
bezgrizhnost bezgrizhnost bezgrizhnost,Bulgarian
iavno niamal si iavno niamal si iavno niamal si,Bulgarian
na svoite tvoreniia na svoite tvoreniia na,Bulgarian
koito beshe ponapravil koito beshe ponapravil,Bulgarian
u stanislava u stanislava u stanislava u,Bulgarian
az napravo az napravo az napravo az napravo az,Bulgarian
a spomniash a spomniash a spomniash a spomniash,Bulgarian
koridora a sled koridora a sled koridora a sled,Bulgarian
gimnaziiata posle shche gimnaziiata posle shche,Bulgarian
okazakha falshivi okazakha falshivi okazakha,Bulgarian
niama da praviat niama da praviat niama da,Bulgarian
obadi se obadi se obadi se obadi se obadi se,Bulgarian
lekh za mnogo lekh za mnogo lekh za mnogo lekh,Bulgarian
tia vdigna tia vdigna tia vdigna tia vdigna tia,Bulgarian
tiakh sm tiakh sm tiakh sm tiakh sm tiakh sm,Bulgarian
slavcho i se slavcho i se slavcho i se slavcho i,Bulgarian
obratno nali znaesh obratno nali znaesh obratno,Bulgarian
na nego na nego na nego na nego na nego,Bulgarian
neshcho neponiatno neshcho neponiatno neshcho,Bulgarian
tvoite khodove tvoite khodove tvoite khodove,Bulgarian
neia emo i neia emo i neia emo i neia emo i neia,Bulgarian
ben na takova ben na takova ben na takova ben na,Bulgarian
cho beshe na cho beshe na cho beshe na cho beshe,Bulgarian
chukha se chukha se chukha se chukha se chukha,Bulgarian
osobeno po osobeno po osobeno po osobeno po,Bulgarian
v ponedelnik iskam v ponedelnik iskam v,Bulgarian
kite biakha kato kite biakha kato kite biakha,Bulgarian
kakto uchenitsite kakto uchenitsite kakto,Bulgarian
ki ne znaiat ki ne znaiat ki ne znaiat ki ne,Bulgarian
tinkt da se tinkt da se tinkt da se tinkt da se,Bulgarian
falshivite belezhki ne falshivite belezhki ne,Bulgarian
vidi se vidi se vidi se vidi se vidi se,Bulgarian
pishchiakha i se pishchiakha i se pishchiakha i,Bulgarian
ss slavcho i ss slavcho i ss slavcho i ss,Bulgarian
khaide izchezvai khaide izchezvai khaide,Bulgarian
kogato stana kogato stana kogato stana kogato,Bulgarian
si v uchilishche si v uchilishche si v,Bulgarian
ka prazni prikazki ka prazni prikazki ka prazni,Bulgarian
posle pogledna posle pogledna posle pogledna,Bulgarian
staraeshe naimnogo no staraeshe naimnogo no,Bulgarian
kra che se kra che se kra che se kra che se kra,Bulgarian
az shche az shche az shche az shche az shche,Bulgarian
km sebe km sebe km sebe km sebe km sebe,Bulgarian
otnosno ideiata za otnosno ideiata za otnosno,Bulgarian
tematichkata tematichkata tematichkata,Bulgarian
te chistachki no te chistachki no te chistachki,Bulgarian
che tseliiat klas che tseliiat klas che tseliiat,Bulgarian
beshe pocherveniala i beshe pocherveniala i,Bulgarian
ponechi da prodlzhi ponechi da prodlzhi ponechi,Bulgarian
niama da pravi niama da pravi niama da pravi,Bulgarian
prosto znam prosto znam prosto znam prosto znam,Bulgarian
gat mnogo shum gat mnogo shum gat mnogo shum gat,Bulgarian
dvadeset i chetvrta dvadeset i chetvrta dvadeset,Bulgarian
toi iskashe toi iskashe toi iskashe toi iskashe,Bulgarian
ne triabva ne triabva ne triabva ne triabva ne,Bulgarian
blskakha se kreshchiakha blskakha se,Bulgarian
no pomis no pomis no pomis no pomis no pomis,Bulgarian
dovechera shche dovechera shche dovechera shche,Bulgarian
napravo umirashe napravo umirashe napravo,Bulgarian
nachertaite  nachertaite  nachertaite,Bulgarian
ni razvivan razni ni razvivan razni ni razvivan,Bulgarian
nite rkovoden naiveche nite rkovoden naiveche,Bulgarian
takava che takava che takava che takava che,Bulgarian
bezsledno izcheznal bezsledno izcheznal,Bulgarian
kv tmen oblak kv tmen oblak kv tmen oblak kv,Bulgarian
godini pri izvnredno godini pri izvnredno godini,Bulgarian
chat treti se chat treti se chat treti se chat,Bulgarian
imakha blgarski ezik imakha blgarski ezik imakha,Bulgarian
i da pisheshe i da pisheshe i da pisheshe i da,Bulgarian
glavnoto e glavnoto e glavnoto e glavnoto e,Bulgarian
v staiata v staiata v staiata v staiata v,Bulgarian
mnogo losho mnogo losho mnogo losho mnogo losho,Bulgarian
nanasiam bolka no nanasiam bolka no nanasiam,Bulgarian
ama ima ama ima ama ima ama ima ama ima,Bulgarian
koeto ne e koeto ne e koeto ne e koeto ne e,Bulgarian
krai na staiata krai na staiata krai na staiata,Bulgarian
no na teb no na teb no na teb no na teb no na,Bulgarian
tseto te siakash tseto te siakash tseto te,Bulgarian
paniia i da paniia i da paniia i da paniia i da,Bulgarian
she vnimanie na she vnimanie na she vnimanie na,Bulgarian
i znaesh i znaesh i znaesh i znaesh i znaesh,Bulgarian
dvadeset i prva dvadeset i prva dvadeset i prva,Bulgarian
i dushevni krizisi i dushevni krizisi i dushevni,Bulgarian
zabi topcheto v zabi topcheto v zabi topcheto v,Bulgarian
khozhdal iz gorite khozhdal iz gorite khozhdal,Bulgarian
vse ot vse ot vse ot vse ot vse ot,Bulgarian
v tozi v tozi v tozi v tozi v tozi,Bulgarian
ne nastoiava ne nastoiava ne nastoiava ne,Bulgarian
olaf van geldern olaf van geldern olaf van,Bulgarian
posledva makar che posledva makar che posledva,Bulgarian
i kocho nozht i kocho nozht i kocho nozht i,Bulgarian
onezi dvete glbchentsa onezi dvete glbchentsa,Bulgarian
a sega a sega a sega a sega a sega,Bulgarian
da stava nishcho da stava nishcho da stava,Bulgarian
dokosvane po ramoto dokosvane po ramoto,Bulgarian
ne beshe si ne beshe si ne beshe si ne beshe si,Bulgarian
ia iziskva ia iziskva ia iziskva ia iziskva ia,Bulgarian
komunizma se vmkna komunizma se vmkna komunizma,Bulgarian
nego shche se nego shche se nego shche se nego,Bulgarian
naprimer emil naprimer emil naprimer emil,Bulgarian
stanito me stanito me stanito me stanito me,Bulgarian
uteshavaite s bezuteshnoto uteshavaite s,Bulgarian
klasnata klasnata klasnata klasnata klasnata,Bulgarian
sbliakokha ia sbliakokha ia sbliakokha ia,Bulgarian
koleda g koleda g koleda g koleda g koleda g,Bulgarian
stanislava koiato stanislava koiato stanislava,Bulgarian
tova shcho tova shcho tova shcho tova shcho tova,Bulgarian
vkarakha v relsite vkarakha v relsite vkarakha v,Bulgarian
ednichko shcho mu ednichko shcho mu ednichko,Bulgarian
dlgo biakha dlgo biakha dlgo biakha dlgo biakha,Bulgarian
zagriava kak stoi zagriava kak stoi zagriava kak,Bulgarian
shche go shche go shche go shche go shche go,Bulgarian
ivancho koito si ivancho koito si ivancho koito,Bulgarian
nat prez vratata nat prez vratata nat prez,Bulgarian
dvadeset i vtora dvadeset i vtora dvadeset i,Bulgarian
mo s shmekerii mo s shmekerii mo s shmekerii mo,Bulgarian
liazlo to stranichen liazlo to stranichen liazlo,Bulgarian
da kogato tia da kogato tia da kogato tia da,Bulgarian
leze zasramen leze zasramen leze zasramen leze,Bulgarian
dshcheria mi nikoga dshcheria mi nikoga,Bulgarian
pushi che ne pushi che ne pushi che ne pushi che,Bulgarian
v niakoi skrishen v niakoi skrishen v niakoi,Bulgarian
ss strast da ss strast da ss strast da ss strast,Bulgarian
vse pak vse pak vse pak vse pak vse pak,Bulgarian
red  i red  i red  i red  i red  i,Bulgarian
toi siakash leteshe toi siakash leteshe toi,Bulgarian
da plachat no da plachat no da plachat no da,Bulgarian
smee poveche smee poveche smee poveche smee,Bulgarian
eltn dzhon bozhe eltn dzhon bozhe eltn dzhon,Bulgarian
dvete grupi  dvete grupi  dvete grupi  dvete,Bulgarian
dazhe i dazhe i dazhe i dazhe i dazhe i,Bulgarian
vsichko sluchilo se vsichko sluchilo se vsichko,Bulgarian
svsem po svsem po svsem po svsem po svsem po,Bulgarian
samo marina samo marina samo marina samo marina,Bulgarian
dovolen  i dovolen  i dovolen  i dovolen  i,Bulgarian
mnogo lesno se mnogo lesno se mnogo lesno se,Bulgarian
mnogo  mnogo  mnogo  mnogo  mnogo,Bulgarian
ogriavate vsichko staraite ogriavate vsichko,Bulgarian
chista sluchainost chista sluchainost chista,Bulgarian
da stanislava da stanislava da stanislava da,Bulgarian
samo che samo che samo che samo che samo che,Bulgarian
beshe stanalo zashchoto beshe stanalo zashchoto,Bulgarian
prepishe ot tetradkata prepishe ot tetradkata,Bulgarian
sedna na sedna na sedna na sedna na sedna na,Bulgarian
otsstvie otsstvie otsstvie otsstvie otsstvie,Bulgarian
shche izkliucha desetina shche izkliucha,Bulgarian
drugariu  drugariu  drugariu  drugariu,Bulgarian
malko sa malko sa malko sa malko sa malko sa,Bulgarian
sglasish az znam sglasish az znam sglasish az,Bulgarian
a vsshchnost kakvo a vsshchnost kakvo a,Bulgarian
interesi sa zakrmeni interesi sa zakrmeni,Bulgarian
tsa i go tsa i go tsa i go tsa i go tsa i go,Bulgarian
oliuliavashe se oliuliavashe se oliuliavashe se,Bulgarian
pravo na prodlzhenie pravo na prodlzhenie pravo,Bulgarian
no emo no emo no emo no emo no emo,Bulgarian
imat adresite imat adresite imat adresite imat,Bulgarian
napuskam grada napuskam grada napuskam grada,Bulgarian
i kolko i kolko i kolko i kolko i kolko,Bulgarian
ama niakoi drug ama niakoi drug ama niakoi drug,Bulgarian
toi i sam toi i sam toi i sam toi i sam toi i,Bulgarian
samo kak samo kak samo kak samo kak samo kak,Bulgarian
tiagostna i tiagostna i tiagostna i tiagostna i,Bulgarian
v staiata i v staiata i v staiata i v staiata i,Bulgarian
iasno li iasno li iasno li iasno li iasno li,Bulgarian
pregrnala po instinkt pregrnala po instinkt,Bulgarian
zabeliazala i im zabeliazala i im zabeliazala i,Bulgarian
prv pt da prv pt da prv pt da prv pt da prv pt,Bulgarian
vednzh v grafata vednzh v grafata vednzh v,Bulgarian
znachi marina znachi marina znachi marina znachi,Bulgarian
